"","country_code","year","income_level"
"1746","GHA",2017,"LM"
"1747","GHA",2018,"LM"
"1748","GHA",2019,"LM"
"1749","GHA",2020,"LM"
"1750","GHA",2021,"LM"
"1751","GHA",2022,"LM"
"1752","GHA",2023,"LM"
"1753","GIB",2000,".."
"1754","GIB",2001,".."
"1755","GIB",2002,".."
"1756","GIB",2003,".."
"1757","GIB",2004,".."
"1758","GIB",2005,".."
"1759","GIB",2006,".."
"1760","GIB",2007,".."
"1761","GIB",2008,".."
"1762","GIB",2009,"H"
"1763","GIB",2010,"H"
"1764","GIB",2011,".."
"1765","GIB",2012,".."
"1766","GIB",2013,".."
"1767","GIB",2014,".."
"1768","GIB",2015,"H"
"1769","GIB",2016,"H"
"1770","GIB",2017,"H"
"1771","GIB",2018,"H"
"1772","GIB",2019,"H"
"1773","GIB",2020,"H"
"1774","GIB",2021,"H"
"1775","GIB",2022,"H"
"1776","GIB",2023,"H"
"1777","GIN",2000,"L"
"1778","GIN",2001,"L"
"1779","GIN",2002,"L"
"1780","GIN",2003,"L"
"1781","GIN",2004,"L"
"1782","GIN",2005,"L"
"1783","GIN",2006,"L"
"1784","GIN",2007,"L"
"1785","GIN",2008,"L"
"1786","GIN",2009,"L"
"1787","GIN",2010,"L"
"1788","GIN",2011,"L"
"1789","GIN",2012,"L"
"1790","GIN",2013,"L"
"1791","GIN",2014,"L"
"1792","GIN",2015,"L"
"1793","GIN",2016,"L"
"1794","GIN",2017,"L"
"1795","GIN",2018,"L"
"1796","GIN",2019,"L"
"1797","GIN",2020,"L"
"1798","GIN",2021,"L"
"1799","GIN",2022,"LM"
"1800","GIN",2023,"LM"
"1801","GMB",2000,"L"
"1802","GMB",2001,"L"
"1803","GMB",2002,"L"
"1804","GMB",2003,"L"
"1805","GMB",2004,"L"
"1806","GMB",2005,"L"
"1807","GMB",2006,"L"
"1808","GMB",2007,"L"
"1809","GMB",2008,"L"
"1810","GMB",2009,"L"
"1811","GMB",2010,"L"
"1812","GMB",2011,"L"
"1813","GMB",2012,"L"
"1814","GMB",2013,"L"
"1815","GMB",2014,"L"
"1816","GMB",2015,"L"
"1817","GMB",2016,"L"
"1818","GMB",2017,"L"
"1819","GMB",2018,"L"
